"T","Points:0","Points:1","Points:2"
1623,2343.8,32812,0
1623,4687.5,32812,0
1623,0,35156,0
1623,2343.8,35156,0
1623,4687.5,35156,0
1623,0,37500,0
1623,2343.8,37500,0
1623,4687.5,37500,0
1623,4687.5,32812,0
1623,7031.2,32812,0
1623,9375,32812,0
1623,4687.5,35156,0
1623,7031.2,35156,0
1623,9375,35156,0
1623,4687.5,37500,0
1623,7031.2,37500,0
1623,9375,37500,0
1623,9375,28125,0
1623,11719,28125,0
1623,14062,28125,0
1623,9375,30469,0
1623,11719,30469,0
1623,14062,30469,0
1623,9375,32812,0
1623,11719,32812,0
1623,14062,32812,0
1623,14062,28125,0
1623,16406,28125,0
1623,18750,28125,0
1623,14062,30469,0
1623,16406,30469,0
1623,18750,30469,0
1623,14062,32812,0
1623,16406,32812,0
1623,18750,32812,0
1623,9375,32812,0
1623,11719,32812,0
1623,14062,32812,0
1623,9375,35156,0
1623,11719,35156,0
1623,14062,35156,0
1623,9375,37500,0
1623,11719,37500,0
1623,14062,37500,0
1623,14062,32812,0
1623,16406,32812,0
1623,18750,32812,0
1623,14062,35156,0
1623,16406,35156,0
1623,18750,35156,0
1623,14062,37500,0
1623,16406,37500,0
1623,18750,37500,0
1623,18750,18750,0
1623,21094,18750,0
1623,23438,18750,0
1623,18750,21094,0
1623,21094,21094,0
1623,23438,21094,0
1623,18750,23438,0
1623,21094,23438,0
1623,23438,23438,0
1623,23438,18750,0
1623,25781,18750,0
1623,28125,18750,0
1623,23438,21094,0
1623,25781,21094,0
1623,28125,21094,0
1623,23438,23438,0
1623,25781,23438,0
1623,28125,23438,0
1623,18750,23438,0
1623,21094,23438,0
1623,23438,23438,0
1623,18750,25781,0
1623,21094,25781,0
1623,23438,25781,0
1623,18750,28125,0
1623,21094,28125,0
1623,23438,28125,0
1623,23438,23438,0
1623,25781,23438,0
1623,28125,23438,0
1623,23438,25781,0
1623,25781,25781,0
1623,28125,25781,0
1623,23438,28125,0
1623,25781,28125,0
1623,28125,28125,0
1623,28125,18750,0
1623,30469,18750,0
1623,32812,18750,0
1623,28125,21094,0
1623,30469,21094,0
1623,32812,21094,0
1623,28125,23438,0
1623,30469,23438,0
1623,32812,23438,0
1623,32812,18750,0
1623,35156,18750,0
1623,37500,18750,0
1623,32812,21094,0
1623,35156,21094,0
1623,37500,21094,0
1623,32812,23438,0
1623,35156,23438,0
1623,37500,23438,0
1623,28125,23438,0
1623,30469,23438,0
1623,32812,23438,0
1623,28125,25781,0
1623,30469,25781,0
1623,32812,25781,0
1623,28125,28125,0
1623,30469,28125,0
1623,32812,28125,0
1623,32812,23438,0
1623,35156,23438,0
1623,37500,23438,0
1623,32812,25781,0
1623,35156,25781,0
1623,37500,25781,0
1623,32812,28125,0
1623,35156,28125,0
1623,37500,28125,0
1623,18750,28125,0
1623,21094,28125,0
1623,23438,28125,0
1623,18750,30469,0
1623,21094,30469,0
1623,23438,30469,0
1623,18750,32812,0
1623,21094,32812,0
1623,23438,32812,0
1623,23438,28125,0
1623,25781,28125,0
1623,28125,28125,0
1623,23438,30469,0
1623,25781,30469,0
1623,28125,30469,0
1623,23438,32812,0
1623,25781,32812,0
1623,28125,32812,0
1623,18750,32812,0
1623,21094,32812,0
1623,23438,32812,0
1623,18750,35156,0
1623,21094,35156,0
1623,23438,35156,0
1623,18750,37500,0
1623,21094,37500,0
1623,23438,37500,0
1623,23438,32812,0
1623,25781,32812,0
1623,28125,32812,0
1623,23438,35156,0
1623,25781,35156,0
1623,28125,35156,0
1623,23438,37500,0
1623,25781,37500,0
1623,28125,37500,0
1623,28125,28125,0
1623,30469,28125,0
1623,32812,28125,0
1623,28125,30469,0
1623,30469,30469,0
1623,32812,30469,0
1623,28125,32812,0
1623,30469,32812,0
1623,32812,32812,0
1623,32812,28125,0
